danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.826,0.556,5,-8.516,0,0.191,0.684,0,0.119,0.591,150.067,audio_features,1NW4kNeeaRl5xxOnOLsYIJ,spotify:track:1NW4kNeeaRl5xxOnOLsYIJ,https://api.spotify.com/v1/tracks/1NW4kNeeaRl5xxOnOLsYIJ,https://api.spotify.com/v1/audio-analysis/1NW4kNeeaRl5xxOnOLsYIJ,187006,4
0.657,0.333,8,-13.553,1,0.526,0.0608,0,0.157,0.313,148.168,audio_features,4W1RGS4ncIY1yrz38rysN3,spotify:track:4W1RGS4ncIY1yrz38rysN3,https://api.spotify.com/v1/tracks/4W1RGS4ncIY1yrz38rysN3,https://api.spotify.com/v1/audio-analysis/4W1RGS4ncIY1yrz38rysN3,98615,4
0.671,0.584,9,-9.959,0,0.54,0.65,0,0.128,0.366,119.303,audio_features,1LWunyq4LMbOGjPD128dJy,spotify:track:1LWunyq4LMbOGjPD128dJy,https://api.spotify.com/v1/tracks/1LWunyq4LMbOGjPD128dJy,https://api.spotify.com/v1/audio-analysis/1LWunyq4LMbOGjPD128dJy,209440,5
0.792,0.627,0,-7.464,1,0.275,0.305,0,0.078,0.645,155.03,audio_features,4avTQmRrg717z7AuXqYY0V,spotify:track:4avTQmRrg717z7AuXqYY0V,https://api.spotify.com/v1/tracks/4avTQmRrg717z7AuXqYY0V,https://api.spotify.com/v1/audio-analysis/4avTQmRrg717z7AuXqYY0V,150915,4
0.878,0.622,2,-6.995,1,0.405,0.153,0,0.0917,0.638,84.991,audio_features,3Abk2vuXSoz1z9lJKjJkCr,spotify:track:3Abk2vuXSoz1z9lJKjJkCr,https://api.spotify.com/v1/tracks/3Abk2vuXSoz1z9lJKjJkCr,https://api.spotify.com/v1/audio-analysis/3Abk2vuXSoz1z9lJKjJkCr,163765,4
0.789,0.84,9,-5.29,1,0.097,0.0309,0,0.0916,0.494,136.059,audio_features,6pjtY9QtWHxTqPkTfGW0ru,spotify:track:6pjtY9QtWHxTqPkTfGW0ru,https://api.spotify.com/v1/tracks/6pjtY9QtWHxTqPkTfGW0ru,https://api.spotify.com/v1/audio-analysis/6pjtY9QtWHxTqPkTfGW0ru,84000,4
0.747,0.666,11,-7.845,1,0.197,0.13,0,0.36,0.531,77.507,audio_features,5wXJNvoVOZBmB9b4EDP8xW,spotify:track:5wXJNvoVOZBmB9b4EDP8xW,https://api.spotify.com/v1/tracks/5wXJNvoVOZBmB9b4EDP8xW,https://api.spotify.com/v1/audio-analysis/5wXJNvoVOZBmB9b4EDP8xW,177213,4
0.74,0.403,6,-9.311,0,0.0635,0.509,0.0247,0.104,0.331,138.013,audio_features,136fhifxcZQYs60Qgac9bm,spotify:track:136fhifxcZQYs60Qgac9bm,https://api.spotify.com/v1/tracks/136fhifxcZQYs60Qgac9bm,https://api.spotify.com/v1/audio-analysis/136fhifxcZQYs60Qgac9bm,173120,4
0.809,0.653,0,-7.178,0,0.306,0.335,0,0.11,0.639,139.981,audio_features,0rs6jxe3647mGSc7l18Cq8,spotify:track:0rs6jxe3647mGSc7l18Cq8,https://api.spotify.com/v1/tracks/0rs6jxe3647mGSc7l18Cq8,https://api.spotify.com/v1/audio-analysis/0rs6jxe3647mGSc7l18Cq8,199093,4
0.791,0.5,1,-9.805,0,0.42,0.603,0,0.0993,0.492,130.027,audio_features,0hkXsgdRk1TAOuOEpzznkI,spotify:track:0hkXsgdRk1TAOuOEpzznkI,https://api.spotify.com/v1/tracks/0hkXsgdRk1TAOuOEpzznkI,https://api.spotify.com/v1/audio-analysis/0hkXsgdRk1TAOuOEpzznkI,170582,4
